ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12138390,JD335288,08/14/2020 09:24:00 PM,052XX S LOOMIS BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,934.0,9.0,20.0,61.0,08A,1167888.0,1869922.0,2020.0,08/21/2020 03:53:36 PM,41.798606265,-87.659849704,"(41.798606265, -87.659849704)"
12139436,JD336898,08/03/2020 08:00:00 AM,059XX W IRVING PARK RD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),False,False,1624.0,16.0,38.0,15.0,11,1135817.0,1925980.0,2020.0,08/21/2020 03:51:30 PM,41.953066476,-87.776128044,"(41.953066476, -87.776128044)"
12135578,JD332354,08/14/2020 03:20:00 PM,030XX W 60TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,823.0,8.0,16.0,66.0,14,1156956.0,1864690.0,2020.0,08/21/2020 03:53:36 PM,41.784476966,-87.700081186,"(41.784476966, -87.700081186)"
12137775,JD334186,08/14/2020 03:00:00 PM,052XX N WINTHROP AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,2023.0,20.0,48.0,77.0,06,1167927.0,1934924.0,2020.0,08/21/2020 03:53:36 PM,41.976975566,-87.657830171,"(41.976975566, -87.657830171)"
12136516,JD333127,08/14/2020 11:00:00 PM,122XX S YALE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,523.0,5.0,34.0,53.0,05,1176822.0,1823688.0,2020.0,08/21/2020 03:53:36 PM,41.67153755,-87.628475583,"(41.67153755, -87.628475583)"
12137377,JD334459,08/14/2020 03:00:00 PM,072XX S EAST END AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,324.0,3.0,7.0,43.0,07,1188789.0,1857317.0,2020.0,08/21/2020 03:53:36 PM,41.763542227,-87.583605317,"(41.763542227, -87.583605317)"
12245306,JD459352,12/14/2020 11:05:00 PM,014XX S TRUMBULL AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,False,True,1021.0,10.0,24.0,29.0,04B,1153602.0,1892860.0,2020.0,12/21/2020 03:47:08 PM,41.861846274,-87.711631066,"(41.861846274, -87.711631066)"
12136634,JD332430,08/14/2020 04:00:00 AM,004XX E 40TH ST,0810,THEFT,OVER $500,APARTMENT,False,False,214.0,2.0,3.0,38.0,06,1180017.0,1878243.0,2020.0,08/21/2020 03:53:36 PM,41.821170402,-87.615115421,"(41.821170402, -87.615115421)"
12245429,JD459525,12/14/2020 12:00:00 PM,002XX N MAYFIELD AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1512.0,15.0,29.0,25.0,11,1137120.0,1901058.0,2020.0,12/21/2020 03:47:08 PM,41.884654292,-87.771937787,"(41.884654292, -87.771937787)"
12135630,JD332183,08/14/2020 01:10:00 PM,012XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,STREET,True,False,1433.0,14.0,1.0,24.0,08B,1165295.0,1908492.0,2020.0,08/21/2020 03:53:36 PM,41.904501348,-87.668263297,"(41.904501348, -87.668263297)"
